 PARTY6     , COL4HDG, PARTY4     , PVTALLY3, PARTY1     , RNAME9          , PRCTSEQ,COUNTY    , PVTALLY7, COL5HDG, RNAME10              , PVTALLY1, RNAME6      , COL3HDG, PVTALLY2, RNAME8        , PARTY9     , BALSEQID, PARTY5     , PVTALLY8, ELECTDATE , PVTALLY9,source_file, CANDGROUP, PARTY3     , RNAME4                          , PARTY8     , PVTALLY4, COL7HDG, OFFICENAME                                       , PARTY2     , RNAME7          , RNAME5                     , PVTALLY10, RNAME3                       , PARTY7     , COL9HDG, JURISID, COL6HDG, COL2HDG, PVTALLY5, RNAME1                     , COL1HDG, RNAME2                        , COL8HDG, PRECINCT                   , PVTALLY6, PARTY10    , COL10HDG
            ,       4, Independent,       28, Republican ,                 ,    0004,Anderson  ,         ,       5,                      ,     1553,             ,       3,      546,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,       10,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Clinton                    ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0004,Anderson  ,         ,        ,                      ,     1749,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Clinton                    ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Kanye West      ,    0005,Anderson  ,        0,       5, Write-In - R19 Boddie,      962, Jo Jorgensen,       3,      366, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        0,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        1, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Clinton High               ,        7,            ,       10
            ,      14,            ,        0,            ,                 ,    0005,Anderson  ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Clinton High               ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Elizabeth McLeod,    0005,Anderson  ,        3,       5, Kacey Morgan         ,      943, G. Dean Hill,       3,      328, Aaron James   , Independent,     0007, Independent,        1, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        1,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         2," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        2, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Clinton High               ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0005,Anderson  ,         ,        ,                      ,        3,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Clinton High               ,         ,            ,         
            ,       4, Independent,       14, Republican ,                 ,    0005,Anderson  ,         ,       5,                      ,      941,             ,       3,      325,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,        5,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Clinton High               ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0005,Anderson  ,         ,        ,                      ,     1084,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Clinton High               ,         ,            ,         
 Independent,       4, Independent,        5, Republican , Kanye West      ,    0006,Anderson  ,        5,       5, Write-In - R19 Boddie,     1637, Jo Jorgensen,       3,      520, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        3, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Claxton                    ,       22,            ,       10
            ,      14,            ,        0,            ,                 ,    0006,Anderson  ,         ,        ,                      ,        0,             ,      13,        1,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Claxton                    ,         ,            ,         
 Independent,       4, Independent,        6, Republican , Elizabeth McLeod,    0006,Anderson  ,        0,       5, Kacey Morgan         ,     1622, G. Dean Hill,       3,      484, Aaron James   , Independent,     0007, Independent,        3, 2020-11-03,       12,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        3,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         2," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        2, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Claxton                    ,        4, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0006,Anderson  ,         ,        ,                      ,        3,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Claxton                    ,         ,            ,         
            ,       4, Independent,       39, Republican ,                 ,    0006,Anderson  ,         ,       5,                      ,     1609,             ,       3,      463,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,        7,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Claxton                    ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0006,Anderson  ,         ,        ,                      ,     1804,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Claxton                    ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Kanye West      ,    0007,Anderson  ,        0,       5, Write-In - R19 Boddie,      533, Jo Jorgensen,       3,      124, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        3,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Clinton Middle             ,        4,            ,       10
            ,      14,            ,        0,            ,                 ,    0007,Anderson  ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Clinton Middle             ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Elizabeth McLeod,    0007,Anderson  ,        1,       5, Kacey Morgan         ,      530, G. Dean Hill,       3,      103, Aaron James   , Independent,     0007, Independent,        1, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        2,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         0," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        1, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Clinton Middle             ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0007,Anderson  ,         ,        ,                      ,        4,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Clinton Middle             ,         ,            ,         
            ,       4, Independent,        5, Republican ,                 ,    0007,Anderson  ,         ,       5,                      ,      522,             ,       3,      107,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,        4,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Clinton Middle             ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0007,Anderson  ,         ,        ,                      ,      575,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Clinton Middle             ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Kanye West      ,    0008,Anderson  ,        0,       5, Write-In - R19 Boddie,      344, Jo Jorgensen,       3,       69, Gloria La Riva, Independent,     0003, Independent,        0, 2020-11-03,        1,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        0, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Dutch Valley               ,        4,            ,       10
            ,      14,            ,        0,            ,                 ,    0008,Anderson  ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Dutch Valley               ,         ,            ,         
 Independent,       4, Independent,        0, Republican , Elizabeth McLeod,    0008,Anderson  ,        0,       5, Kacey Morgan         ,      329, G. Dean Hill,       3,       70, Aaron James   , Independent,     0007, Independent,        0, 2020-11-03,        2,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        0,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         0," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        0, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Dutch Valley               ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0008,Anderson  ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Dutch Valley               ,         ,            ,         
            ,       4, Independent,        4, Republican ,                 ,    0008,Anderson  ,         ,       5,                      ,      327,             ,       3,       66,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,        1,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Dutch Valley               ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0008,Anderson  ,         ,        ,                      ,      335,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Dutch Valley               ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Kanye West      ,    0009,Anderson  ,        0,       5, Write-In - R19 Boddie,     1077, Jo Jorgensen,       3,     1151, Gloria La Riva, Independent,     0003, Independent,        1, 2020-11-03,        7,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        8, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Emory Valley               ,       37,            ,       10
            ,      14,            ,        0,            ,                 ,    0009,Anderson  ,         ,        ,                      ,        2,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Emory Valley               ,         ,            ,         
 Independent,       4, Independent,       12, Republican , Elizabeth McLeod,    0009,Anderson  ,        4,       5, Kacey Morgan         ,     1145, G. Dean Hill,       3,     1031, Aaron James   , Independent,     0007, Independent,        1, 2020-11-03,       15,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,       10,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         0," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        7, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Emory Valley               ,        6, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0009,Anderson  ,         ,        ,                      ,        2,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Emory Valley               ,         ,            ,         
            ,       4, Independent,       30, Republican ,                 ,    0009,Anderson  ,         ,       5,                      ,     1208,             ,       3,      984,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Keith Douglas Sweitzer          ,            ,       12,        , United States House of Representatives District 3, Democratic ,                 , Write-In - Scott D. James  ,          , Amber L. Hysell              ,            ,        ,       3,        ,       2,        0, Chuck Fleischmann          ,       1, Meg Gorman                    ,        , Emory Valley               ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0009,Anderson  ,         ,        ,                      ,     1519,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 33   ,            ,                 ,                            ,          ,                              ,            ,        ,      33,        ,        ,         , John D Ragan               ,       1,                               ,        , Emory Valley               ,         ,            ,         
