COUNTY    , PRCTSEQ, PRECINCT                 , BALSEQID, JURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                        , PARTY1     , PVTALLY1, COL2HDG, RNAME2                       , PARTY2     , PVTALLY2, COL3HDG, RNAME3                           , PARTY3     , PVTALLY3, COL4HDG, RNAME4                             , PARTY4     , PVTALLY4, COL5HDG, RNAME5                      , PARTY5     , PVTALLY5, COL6HDG, RNAME6        , PARTY6     , PVTALLY6, COL7HDG, RNAME7                       , PARTY7     , PVTALLY7, COL8HDG, RNAME8                      , PARTY8     , PVTALLY8, COL9HDG, RNAME9                 , PARTY9     , PVTALLY9, COL10HDG, RNAME10                , PARTY10    , PVTALLY10
Anderson  ,    0003, Bull Run                 ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,     1319,       2, Melody Shekari               , Democratic ,      391,       3, Topher Kersting                  , Independent,       26,       4, Cassandra Mitchell                 , Independent,       37,       5, Rick Tyler                  , Independent,       44,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0003, Bull Run                 ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,     1322,       2, Michael S McKamey            , Democratic ,      469,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,     1330,       2, Hillary Clinton              , Democratic ,      556,       3, """Rocky"" Roque De La Fuente"   , Independent,        5,       4, Gary Johnson                       , Independent,       47,       5, Alyson Kennedy              , Independent,        2,       6, Mike Smith    , Independent,       19,       7, Jill Stein                   , Independent,        8,       8, Write-In - Darrell L. Castle,            ,        0,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0004, Clinton                  ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        4,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,     1326,       2, Melody Shekari               , Democratic ,      453,       3, Topher Kersting                  , Independent,       14,       4, Cassandra Mitchell                 , Independent,       33,       5, Rick Tyler                  , Independent,       36,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0004, Clinton                  ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,     1279,       2, Michael S McKamey            , Democratic ,      539,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      792,       2, Hillary Clinton              , Democratic ,      279,       3, """Rocky"" Roque De La Fuente"   , Independent,        2,       4, Gary Johnson                       , Independent,       33,       5, Alyson Kennedy              , Independent,        4,       6, Mike Smith    , Independent,        7,       7, Jill Stein                   , Independent,        7,       8, Write-In - Darrell L. Castle,            ,        2,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0005, Clinton High             ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        7,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      763,       2, Melody Shekari               , Democratic ,      239,       3, Topher Kersting                  , Independent,       14,       4, Cassandra Mitchell                 , Independent,       19,       5, Rick Tyler                  , Independent,       17,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0005, Clinton High             ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      756,       2, Michael S McKamey            , Democratic ,      291,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,     1319,       2, Hillary Clinton              , Democratic ,      387,       3, """Rocky"" Roque De La Fuente"   , Independent,        2,       4, Gary Johnson                       , Independent,       53,       5, Alyson Kennedy              , Independent,        0,       6, Mike Smith    , Independent,        8,       7, Jill Stein                   , Independent,        5,       8, Write-In - Darrell L. Castle,            ,        3,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0006, Claxton                  ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        5,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,     1263,       2, Melody Shekari               , Democratic ,      335,       3, Topher Kersting                  , Independent,       16,       4, Cassandra Mitchell                 , Independent,       35,       5, Rick Tyler                  , Independent,       40,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0006, Claxton                  ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,     1239,       2, Michael S McKamey            , Democratic ,      423,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0007, Clinton Middle           ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      453,       2, Hillary Clinton              , Democratic ,       87,       3, """Rocky"" Roque De La Fuente"   , Independent,        1,       4, Gary Johnson                       , Independent,        9,       5, Alyson Kennedy              , Independent,        0,       6, Mike Smith    , Independent,        1,       7, Jill Stein                   , Independent,        3,       8, Write-In - Darrell L. Castle,            ,        0,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0007, Clinton Middle           ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        0,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0007, Clinton Middle           ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      395,       2, Melody Shekari               , Democratic ,       81,       3, Topher Kersting                  , Independent,        2,       4, Cassandra Mitchell                 , Independent,       15,       5, Rick Tyler                  , Independent,       13,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0007, Clinton Middle           ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      402,       2, Michael S McKamey            , Democratic ,       96,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0008, Dutch Valley             ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      271,       2, Hillary Clinton              , Democratic ,       73,       3, """Rocky"" Roque De La Fuente"   , Independent,        0,       4, Gary Johnson                       , Independent,       11,       5, Alyson Kennedy              , Independent,        0,       6, Mike Smith    , Independent,        2,       7, Jill Stein                   , Independent,        0,       8, Write-In - Darrell L. Castle,            ,        0,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0008, Dutch Valley             ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        1,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0008, Dutch Valley             ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      237,       2, Melody Shekari               , Democratic ,       70,       3, Topher Kersting                  , Independent,        1,       4, Cassandra Mitchell                 , Independent,        6,       5, Rick Tyler                  , Independent,       12,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0008, Dutch Valley             ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      223,       2, Michael S McKamey            , Democratic ,       90,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0009, Emory Valley             ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,     1034,       2, Hillary Clinton              , Democratic ,      894,       3, """Rocky"" Roque De La Fuente"   , Independent,        1,       4, Gary Johnson                       , Independent,       88,       5, Alyson Kennedy              , Independent,        3,       6, Mike Smith    , Independent,       15,       7, Jill Stein                   , Independent,       19,       8, Write-In - Darrell L. Castle,            ,        1,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0009, Emory Valley             ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,       17,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0009, Emory Valley             ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,     1170,       2, Melody Shekari               , Democratic ,      762,       3, Topher Kersting                  , Independent,       19,       4, Cassandra Mitchell                 , Independent,       26,       5, Rick Tyler                  , Independent,       22,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0009, Emory Valley             ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,     1166,       2, Michael S McKamey            , Democratic ,      776,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0010, Fairview                 ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      543,       2, Hillary Clinton              , Democratic ,      117,       3, """Rocky"" Roque De La Fuente"   , Independent,        1,       4, Gary Johnson                       , Independent,       12,       5, Alyson Kennedy              , Independent,        0,       6, Mike Smith    , Independent,        6,       7, Jill Stein                   , Independent,        1,       8, Write-In - Darrell L. Castle,            ,        1,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0010, Fairview                 ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        1,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0010, Fairview                 ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      505,       2, Melody Shekari               , Democratic ,       97,       3, Topher Kersting                  , Independent,        5,       4, Cassandra Mitchell                 , Independent,       16,       5, Rick Tyler                  , Independent,       12,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0010, Fairview                 ,     0017,      36,         0, Tennessee House of Representatives District 36   , 2016-11-08, State General,       1, Dennis H. Powers              , Republican ,      500,       2, Bob Fannon                   , Democratic ,      121,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0011, Glen Alpine              ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,     1149,       2, Hillary Clinton              , Democratic ,      304,       3, """Rocky"" Roque De La Fuente"   , Independent,        3,       4, Gary Johnson                       , Independent,       48,       5, Alyson Kennedy              , Independent,        2,       6, Mike Smith    , Independent,        9,       7, Jill Stein                   , Independent,        4,       8, Write-In - Darrell L. Castle,            ,        0,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0011, Glen Alpine              ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        2,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0011, Glen Alpine              ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,     1074,       2, Melody Shekari               , Democratic ,      293,       3, Topher Kersting                  , Independent,       14,       4, Cassandra Mitchell                 , Independent,       38,       5, Rick Tyler                  , Independent,       20,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0011, Glen Alpine              ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      701,       2, Michael S McKamey            , Democratic ,      249,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0011, Glen Alpine              ,     0017,      36,         0, Tennessee House of Representatives District 36   , 2016-11-08, State General,       1, Dennis H. Powers              , Republican ,      330,       2, Bob Fannon                   , Democratic ,      120,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0012, Glenwood                 ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      763,       2, Hillary Clinton              , Democratic ,      608,       3, """Rocky"" Roque De La Fuente"   , Independent,        4,       4, Gary Johnson                       , Independent,       75,       5, Alyson Kennedy              , Independent,        5,       6, Mike Smith    , Independent,        6,       7, Jill Stein                   , Independent,       22,       8, Write-In - Darrell L. Castle,            ,        4,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0012, Glenwood                 ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        5,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0012, Glenwood                 ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      775,       2, Melody Shekari               , Democratic ,      551,       3, Topher Kersting                  , Independent,       28,       4, Cassandra Mitchell                 , Independent,       41,       5, Rick Tyler                  , Independent,       21,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0012, Glenwood                 ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      785,       2, Michael S McKamey            , Democratic ,      584,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0013, Hendrix Creek            ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      849,       2, Hillary Clinton              , Democratic ,      784,       3, """Rocky"" Roque De La Fuente"   , Independent,        3,       4, Gary Johnson                       , Independent,       77,       5, Alyson Kennedy              , Independent,        2,       6, Mike Smith    , Independent,       10,       7, Jill Stein                   , Independent,       10,       8, Write-In - Darrell L. Castle,            ,        3,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0013, Hendrix Creek            ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        9,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0013, Hendrix Creek            ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      996,       2, Melody Shekari               , Democratic ,      633,       3, Topher Kersting                  , Independent,       21,       4, Cassandra Mitchell                 , Independent,       35,       5, Rick Tyler                  , Independent,       14,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0013, Hendrix Creek            ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      975,       2, Michael S McKamey            , Democratic ,      665,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0014, Highland View            ,     0003,       0,         1, United States President                          , 2016-11-08, State General,       1, Donald J. Trump               , Republican ,      299,       2, Hillary Clinton              , Democratic ,      278,       3, """Rocky"" Roque De La Fuente"   , Independent,        2,       4, Gary Johnson                       , Independent,       28,       5, Alyson Kennedy              , Independent,        1,       6, Mike Smith    , Independent,        3,       7, Jill Stein                   , Independent,        4,       8, Write-In - Darrell L. Castle,            ,        1,       9, Write-In - Cherunda Fox,            ,        0,       10, Write-In - Tom Hoefling,            ,         0
Anderson  ,    0014, Highland View            ,     0003,       0,         2, United States President                          , 2016-11-08, State General,      11, Write-In - Kyle Kenley Kopitke,            ,        0,      12, Write-In - Laurence Kotlikoff,            ,        0,      13, Write-In - David Limbaugh        ,            ,        0,      14, Write-In - Evan McMullin           ,            ,        6,      15, Write-In - Marshall Schoenke,            ,        0,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0014, Highland View            ,     0011,       3,         0, United States House of Representatives District 3, 2016-11-08, State General,       1, Chuck Fleischmann             , Republican ,      303,       2, Melody Shekari               , Democratic ,      243,       3, Topher Kersting                  , Independent,        4,       4, Cassandra Mitchell                 , Independent,       26,       5, Rick Tyler                  , Independent,       15,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
Anderson  ,    0014, Highland View            ,     0017,      33,         0, Tennessee House of Representatives District 33   , 2016-11-08, State General,       1, John D Ragan                  , Republican ,      305,       2, Michael S McKamey            , Democratic ,      268,        ,                                  ,            ,         ,        ,                                    ,            ,         ,        ,                             ,            ,         ,        ,               ,            ,         ,        ,                              ,            ,         ,        ,                             ,            ,         ,        ,                        ,            ,         ,         ,                        ,            ,          
