COUNTY    , Precinct Seq, PRECINCT            , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE       , Col1, BName1                           , Tally1, Col2, BName2                            , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                              , Tally5, Col6, BName6                           , Tally6, Col7, BName7                         , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
ANDERSON  ,         0004, Clinton             ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      2,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0004, Clinton             ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0004, Clinton             ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,   1295,    2, . Mary M. Headrick - (D)          ,    504,    3, . Matthew Deniston - (I)      ,     45,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0004, Clinton             ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,   1045,    2, . Jim Hackworth - (D)             ,    872,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0005, Clinton High        ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    778,    2, . Barack Obama - (D)              ,    336,    3, . Virgil Goode - (C)          ,      3,    4, . Jill Stein - (G)             ,      0,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,      6,    7, . Merlin Miller - (I)          ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0005, Clinton High        ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,    779,    2, . Mark E. Clayton - (D)           ,    232,    3, . Kermit Steck - (C)          ,     13,    4, . Martin Pleasant - (G)        ,     22,    5, . Shaun E. Crowell - (I)            ,     19,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)           ,      4,    8, . Michel Joseph Long - (I)        ,      9,    9, . Troy Stephen Scoggin - (I),      1,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0005, Clinton High        ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0005, Clinton High        ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0005, Clinton High        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    741,    2, . Mary M. Headrick - (D)          ,    295,    3, . Matthew Deniston - (I)      ,     27,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0005, Clinton High        ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    572,    2, . Jim Hackworth - (D)             ,    531,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0006, Claxton             ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1201,    2, . Barack Obama - (D)              ,    414,    3, . Virgil Goode - (C)          ,      5,    4, . Jill Stein - (G)             ,      9,    5, ". Ross C. ""Rocky"" Anderson - (I)",      3,    6, . Gary Johnson - (I)             ,     15,    7, . Merlin Miller - (I)          ,      2,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0006, Claxton             ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1185,    2, . Mark E. Clayton - (D)           ,    301,    3, . Kermit Steck - (C)          ,     12,    4, . Martin Pleasant - (G)        ,     23,    5, . Shaun E. Crowell - (I)            ,     17,    6, . David Gatchell - (I)           ,      3,    7, . James Higdon - (I)           ,      7,    8, . Michel Joseph Long - (I)        ,     10,    9, . Troy Stephen Scoggin - (I),      6,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0006, Claxton             ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0006, Claxton             ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0006, Claxton             ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,   1087,    2, . Mary M. Headrick - (D)          ,    403,    3, . Matthew Deniston - (I)      ,     47,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0006, Claxton             ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    909,    2, . Jim Hackworth - (D)             ,    685,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0007, Clinton Middle      ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    404,    2, . Barack Obama - (D)              ,    131,    3, . Virgil Goode - (C)          ,      4,    4, . Jill Stein - (G)             ,      1,    5, ". Ross C. ""Rocky"" Anderson - (I)",      0,    6, . Gary Johnson - (I)             ,      4,    7, . Merlin Miller - (I)          ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0007, Clinton Middle      ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,    383,    2, . Mark E. Clayton - (D)           ,     97,    3, . Kermit Steck - (C)          ,      3,    4, . Martin Pleasant - (G)        ,     13,    5, . Shaun E. Crowell - (I)            ,      5,    6, . David Gatchell - (I)           ,      2,    7, . James Higdon - (I)           ,      1,    8, . Michel Joseph Long - (I)        ,      2,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0007, Clinton Middle      ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0007, Clinton Middle      ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0007, Clinton Middle      ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    348,    2, . Mary M. Headrick - (D)          ,    130,    3, . Matthew Deniston - (I)      ,     19,    4, . Write-In - Richard Hall      ,      1,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0007, Clinton Middle      ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    310,    2, . Jim Hackworth - (D)             ,    220,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0008, Glen Alpine         ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1094,    2, . Barack Obama - (D)              ,    384,    3, . Virgil Goode - (C)          ,      4,    4, . Jill Stein - (G)             ,      3,    5, ". Ross C. ""Rocky"" Anderson - (I)",      4,    6, . Gary Johnson - (I)             ,     14,    7, . Merlin Miller - (I)          ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0008, Glen Alpine         ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1089,    2, . Mark E. Clayton - (D)           ,    262,    3, . Kermit Steck - (C)          ,     12,    4, . Martin Pleasant - (G)        ,     30,    5, . Shaun E. Crowell - (I)            ,     16,    6, . David Gatchell - (I)           ,      2,    7, . James Higdon - (I)           ,      7,    8, . Michel Joseph Long - (I)        ,      7,    9, . Troy Stephen Scoggin - (I),      1,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0008, Glen Alpine         ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0008, Glen Alpine         ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0008, Glen Alpine         ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    996,    2, . Mary M. Headrick - (D)          ,    356,    3, . Matthew Deniston - (I)      ,     47,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0008, Glen Alpine         ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    545,    2, . Jim Hackworth - (D)             ,    426,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0008, Glen Alpine         ,          5, TNH     ,       36,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . Dennis Powers - (R)            ,    306,    2, . Virgil Kidwell - (I)            ,    110,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0009, Dutch Valley        ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    256,    2, . Barack Obama - (D)              ,     84,    3, . Virgil Goode - (C)          ,      0,    4, . Jill Stein - (G)             ,      0,    5, ". Ross C. ""Rocky"" Anderson - (I)",      1,    6, . Gary Johnson - (I)             ,      3,    7, . Merlin Miller - (I)          ,      1,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0009, Dutch Valley        ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,    243,    2, . Mark E. Clayton - (D)           ,     63,    3, . Kermit Steck - (C)          ,      4,    4, . Martin Pleasant - (G)        ,      6,    5, . Shaun E. Crowell - (I)            ,      1,    6, . David Gatchell - (I)           ,      0,    7, . James Higdon - (I)           ,      0,    8, . Michel Joseph Long - (I)        ,      3,    9, . Troy Stephen Scoggin - (I),      2,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0009, Dutch Valley        ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0009, Dutch Valley        ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0009, Dutch Valley        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    213,    2, . Mary M. Headrick - (D)          ,     95,    3, . Matthew Deniston - (I)      ,     14,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0009, Dutch Valley        ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,    170,    2, . Jim Hackworth - (D)             ,    175,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0010, Emory Valley        ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,   1177,    2, . Barack Obama - (D)              ,    877,    3, . Virgil Goode - (C)          ,      6,    4, . Jill Stein - (G)             ,      5,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,     24,    7, . Merlin Miller - (I)          ,      2,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0010, Emory Valley        ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,   1364,    2, . Mark E. Clayton - (D)           ,    502,    3, . Kermit Steck - (C)          ,      6,    4, . Martin Pleasant - (G)        ,     71,    5, . Shaun E. Crowell - (I)            ,     16,    6, . David Gatchell - (I)           ,      4,    7, . James Higdon - (I)           ,      3,    8, . Michel Joseph Long - (I)        ,      7,    9, . Troy Stephen Scoggin - (I),      5,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0010, Emory Valley        ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      2,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
