COUNTY    , PRECINCT                   , PRCTSEQ, BALSEQID, JURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , COL1HDG, RNAME1                              , PARTY1     , PVTALLY1, COL2HDG, RNAME2                        , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                , PARTY3     , PVTALLY3, COL4HDG, RNAME4                                   , PARTY4     , PVTALLY4, COL5HDG, RNAME5                     , PARTY5     , PVTALLY5, COL6HDG, RNAME6      , PARTY6     , PVTALLY6, COL7HDG, RNAME7          , PARTY7     , PVTALLY7, COL8HDG, RNAME8        , PARTY8     , PVTALLY8, COL9HDG, RNAME9          , PARTY9     , PVTALLY9, COL10HDG, RNAME10              , PARTY10    , PVTALLY10
Cocke     , Edwina                     ,    0003,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edwina                     ,    0003,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,     1000,       2, Marquita Bradshaw             , Democratic ,      139,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        4,       4, Jeffrey Alan Grunau                      , Independent,        2,       5, Ronnie Henley              , Independent,        8,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        4,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        6,       10, Kacey Morgan         , Independent,        11
Cocke     , Edwina                     ,    0003,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        7,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edwina                     ,    0003,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      963,       2, Blair Walsingham              , Democratic ,      144,       3, Steve Holder                          , Independent,       40,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edwina                     ,    0003,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      954,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Bridgeport                 ,    0004,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      527,       2, Joseph R. Biden               , Democratic ,       87,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        7,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Bridgeport                 ,    0004,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Bridgeport                 ,    0004,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      481,       2, Marquita Bradshaw             , Democratic ,       71,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        4,       4, Jeffrey Alan Grunau                      , Independent,        2,       5, Ronnie Henley              , Independent,        2,       6, G. Dean Hill, Independent,        0,       7, Steven J. Hooper, Independent,        8,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        3,       10, Kacey Morgan         , Independent,         1
Cocke     , Bridgeport                 ,    0004,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        3,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Bridgeport                 ,    0004,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      452,       2, Blair Walsingham              , Democratic ,       71,       3, Steve Holder                          , Independent,       34,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Bridgeport                 ,    0004,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      449,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Long Creek                 ,    0005,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      525,       2, Joseph R. Biden               , Democratic ,      100,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        4,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Long Creek                 ,    0005,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Long Creek                 ,    0005,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      491,       2, Marquita Bradshaw             , Democratic ,       88,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        0,       6, G. Dean Hill, Independent,        0,       7, Steven J. Hooper, Independent,        3,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        4,       10, Kacey Morgan         , Independent,         1
Cocke     , Long Creek                 ,    0005,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        0,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Long Creek                 ,    0005,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      464,       2, Blair Walsingham              , Democratic ,       81,       3, Steve Holder                          , Independent,       20,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Long Creek                 ,    0005,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      431,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Houston Valley             ,    0006,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,       63,       2, Joseph R. Biden               , Democratic ,       18,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        0,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Houston Valley             ,    0006,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Houston Valley             ,    0006,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,       63,       2, Marquita Bradshaw             , Democratic ,       16,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        0,       5, Ronnie Henley              , Independent,        0,       6, G. Dean Hill, Independent,        0,       7, Steven J. Hooper, Independent,        0,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        0,       10, Kacey Morgan         , Independent,         0
Cocke     , Houston Valley             ,    0006,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        0,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Houston Valley             ,    0006,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,       57,       2, Blair Walsingham              , Democratic ,       18,       3, Steve Holder                          , Independent,        0,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Houston Valley             ,    0006,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,       49,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Parrottsville              ,    0007,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      926,       2, Joseph R. Biden               , Democratic ,      138,       3, Don Blankenship                       , Independent,        1,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        3,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        2,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Parrottsville              ,    0007,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Parrottsville              ,    0007,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      859,       2, Marquita Bradshaw             , Democratic ,      121,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        1,       4, Jeffrey Alan Grunau                      , Independent,        3,       5, Ronnie Henley              , Independent,        3,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        6,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        5,       10, Kacey Morgan         , Independent,         2
Cocke     , Parrottsville              ,    0007,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        1,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Parrottsville              ,    0007,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      826,       2, Blair Walsingham              , Democratic ,      122,       3, Steve Holder                          , Independent,       33,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Parrottsville              ,    0007,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      820,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Centerview                 ,    0008,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,     1088,       2, Joseph R. Biden               , Democratic ,      151,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        8,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Centerview                 ,    0008,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Centerview                 ,    0008,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      974,       2, Marquita Bradshaw             , Democratic ,      134,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        3,       4, Jeffrey Alan Grunau                      , Independent,        7,       5, Ronnie Henley              , Independent,        5,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        9,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        7,       10, Kacey Morgan         , Independent,         0
Cocke     , Centerview                 ,    0008,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        2,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Centerview                 ,    0008,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      940,       2, Blair Walsingham              , Democratic ,      134,       3, Steve Holder                          , Independent,       39,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Centerview                 ,    0008,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      958,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Forest Hill                ,    0009,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      569,       2, Joseph R. Biden               , Democratic ,      100,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        6,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Forest Hill                ,    0009,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Forest Hill                ,    0009,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      533,       2, Marquita Bradshaw             , Democratic ,       91,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        1,       4, Jeffrey Alan Grunau                      , Independent,        0,       5, Ronnie Henley              , Independent,        0,       6, G. Dean Hill, Independent,        1,       7, Steven J. Hooper, Independent,        1,       8, Aaron James   , Independent,        1,       9, Elizabeth McLeod, Independent,        2,       10, Kacey Morgan         , Independent,         2
Cocke     , Forest Hill                ,    0009,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        5,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Forest Hill                ,    0009,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      506,       2, Blair Walsingham              , Democratic ,       93,       3, Steve Holder                          , Independent,       18,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Forest Hill                ,    0009,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      496,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Rankin                     ,    0010,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      241,       2, Joseph R. Biden               , Democratic ,       48,       3, Don Blankenship                       , Independent,        1,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        0,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Rankin                     ,    0010,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Rankin                     ,    0010,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      220,       2, Marquita Bradshaw             , Democratic ,       40,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        3,       5, Ronnie Henley              , Independent,        2,       6, G. Dean Hill, Independent,        0,       7, Steven J. Hooper, Independent,        2,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        1,       10, Kacey Morgan         , Independent,         0
Cocke     , Rankin                     ,    0010,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        1,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Rankin                     ,    0010,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      211,       2, Blair Walsingham              , Democratic ,       40,       3, Steve Holder                          , Independent,        6,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Rankin                     ,    0010,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      226,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Armory                     ,    0011,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      558,       2, Joseph R. Biden               , Democratic ,      124,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        0,       6, Jo Jorgensen, Independent,        8,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        1,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Armory                     ,    0011,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Armory                     ,    0011,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      528,       2, Marquita Bradshaw             , Democratic ,      116,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        1,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        0,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        1,       8, Aaron James   , Independent,        2,       9, Elizabeth McLeod, Independent,        3,       10, Kacey Morgan         , Independent,         0
Cocke     , Armory                     ,    0011,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        1,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Armory                     ,    0011,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      504,       2, Blair Walsingham              , Democratic ,      106,       3, Steve Holder                          , Independent,       25,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Armory                     ,    0011,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      497,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edgemont                   ,    0012,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      665,       2, Joseph R. Biden               , Democratic ,      121,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        8,       7, Alyson Kennedy  , Independent,        0,       8, Gloria La Riva, Independent,        1,       9, Kanye West      , Independent,        2,       10, Write-In - R19 Boddie,            ,         0
Cocke     , Edgemont                   ,    0012,     0003,       0,         2, United States President                          , 2020-11-03,      11, Write-In - Brian Carroll            ,            ,        0,      12, Write-In - Tom Hoefling       ,            ,        0,      13, Write-In - Jade Simmons               ,            ,        0,      14, Write-In - Kasey Wells                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edgemont                   ,    0012,     0007,       0,         1, United States Senate                             , 2020-11-03,       1, Bill Hagerty                        , Republican ,      606,       2, Marquita Bradshaw             , Democratic ,      113,       3, " ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,        0,       4, Jeffrey Alan Grunau                      , Independent,        1,       5, Ronnie Henley              , Independent,        3,       6, G. Dean Hill, Independent,        2,       7, Steven J. Hooper, Independent,        3,       8, Aaron James   , Independent,        0,       9, Elizabeth McLeod, Independent,        3,       10, Kacey Morgan         , Independent,         6
Cocke     , Edgemont                   ,    0012,     0007,       0,         2, United States Senate                             , 2020-11-03,      11, Eric William Stansberry             , Independent,        0,      12, Write-In - John A. Gentry     ,            ,        0,      13, Write-In - Al Green                   ,            ,        0,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edgemont                   ,    0012,     0011,       1,         0, United States House of Representatives District 1, 2020-11-03,       1, Diana Harshbarger                   , Republican ,      577,       2, Blair Walsingham              , Democratic ,      112,       3, Steve Holder                          , Independent,       34,       4, Write-In - Josh Berger                   ,            ,        0,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Edgemont                   ,    0012,     0017,      11,         0, Tennessee House of Representatives District 11   , 2020-11-03,       1, Jeremy Faison                       , Republican ,      566,        ,                               ,            ,         ,        ,                                       ,            ,         ,        ,                                          ,            ,         ,        ,                            ,            ,         ,        ,             ,            ,         ,        ,                 ,            ,         ,        ,               ,            ,         ,        ,                 ,            ,         ,         ,                      ,            ,          
Cocke     , Cocke County High          ,    0013,     0003,       0,         1, United States President                          , 2020-11-03,       1, Donald J. Trump                     , Republican ,      508,       2, Joseph R. Biden               , Democratic ,      111,       3, Don Blankenship                       , Independent,        0,       4, " ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       5, Howie Hawkins              , Independent,        1,       6, Jo Jorgensen, Independent,        4,       7, Alyson Kennedy  , Independent,        1,       8, Gloria La Riva, Independent,        0,       9, Kanye West      , Independent,        0,       10, Write-In - R19 Boddie,            ,         0
