COUNTY, PRECINCT, Precinct Seq        , Office Seq, OfficeID, District, Candidate Group                            , OFFICENAME     , ELECTDATE, ELECTTYPE       , Col1, BName1                                    , Tally1, Col2, BName2                                     , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                                       , Tally5, Col6, BName6                           , Tally6, Col7, BName7                       , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
  0004,        2, Clinton             , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      2,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0004,        2, Clinton             , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        3, Clinton             , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,   1295,    2, . Mary M. Headrick - (D)                   ,    504,    3, . Matthew Deniston - (I)      ,     45,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0004,        5, Clinton             , TNH       ,       33,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . John D. Ragan - (R)                     ,   1045,    2, . Jim Hackworth - (D)                      ,    872,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        1, Clinton High        , PRES      ,         ,        1, United States President                    , " ""November 6", " 2012""", General Election,    1, . Mitt Romney - (R)                       ,    778,    2, . Barack Obama - (D)                       ,    336,    3, . Virgil Goode - (C)          ,      3,    4, . Jill Stein - (G)             ,      0,    5, " "". Ross C. """"Rocky"""" Anderson - (I)""",      2,    6, . Gary Johnson - (I)             ,      6,    7, . Merlin Miller - (I)        ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        2, Clinton High        , USS       ,         ,        1, United States Senate                       , " ""November 6", " 2012""", General Election,    1, . Bob Corker - (R)                        ,    779,    2, . Mark E. Clayton - (D)                    ,    232,    3, . Kermit Steck - (C)          ,     13,    4, . Martin Pleasant - (G)        ,     22,    5, . Shaun E. Crowell - (I)                     ,     19,    6, . David Gatchell - (I)           ,      1,    7, . James Higdon - (I)         ,      4,    8, . Michel Joseph Long - (I)        ,      9,    9, . Troy Stephen Scoggin - (I),      1,    10, . Write-In - Fred R. Anderson,       0
  0005,        2, Clinton High        , USS       ,         ,       11, United States Senate                       , " ""November 6", " 2012""", General Election,   11, . Write-In - Larry Crim                   ,      0,   12, . Write-In - Gary Gene Davis               ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer                    ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
  0005,        2, Clinton High        , USS       ,         ,       21, United States Senate                       , " ""November 6", " 2012""", General Election,   21, . Write-In - Mary D. Wright               ,      0,     ,                                            ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        3, Clinton High        , USH       ,        3,        1, U.S. House of Representatives District     , " ""November 6", " 2012""", General Election,    1, . Chuck Fleischmann - (R)                 ,    741,    2, . Mary M. Headrick - (D)                   ,    295,    3, . Matthew Deniston - (I)      ,     27,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill         ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
  0005,        5, Clinton High        , TNH       ,       33,        1, Tennessee House of Representatives District, " ""November 6", " 2012""", General Election,    1, . John D. Ragan - (R)                     ,    572,    2, . Jim Hackworth - (D)                      ,    531,     ,                               ,      0,     ,                                ,      0,     ,                                              ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
