COUNTY    , PRECINCT                 , PRCTSEQ, BALSEQID, JURISID, SECJURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                            , PARTY1    , PVTALLY1, COL2HDG, RNAME2                               , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                 , PARTY3     , PVTALLY3, COL4HDG, RNAME4                        , PARTY4     , PVTALLY4, COL5HDG, RNAME5                  , PARTY5     , PVTALLY5, COL6HDG, RNAME6                                 , PARTY6     , PVTALLY6, COL7HDG, RNAME7       , PARTY7     , PVTALLY7, COL8HDG, RNAME8       , PARTY8     , PVTALLY8, COL9HDG, RNAME9              , PARTY9     , PVTALLY9, COL10HDG, RNAME10   , PARTY10    , PVTALLY10
Johnson   , 1A Laurel                ,    0001,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      372,       2, No                                   ,            ,      129,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      324,       2, No                                   ,            ,      123,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      360,       2, No                                   ,            ,      119,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      288,       2, No                                   ,            ,      169,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0011,       1,          0,         0, United States House of Representatives District 1, 2022-11-08, State General,       1, Diana Lynn Harshbarger            , Republican,      465,       2, Cameron Parsons                      , Democratic ,       68,       3, Richard G. Baker                       , Independent,       10,       4, Matt Makrom                   , Independent,        2,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0015,      03,          0,         0, Tennessee Senate District 3                      , 2022-11-08, State General,       1, Rusty Crowe                       , Republican,      469,       2, Kate Craig                           , Democratic ,       71,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0017,      03,          0,         0, Tennessee House of Representatives District 3    , 2022-11-08, State General,       1, Scotty Campbell                   , Republican,      499,       2, Write-In - Arvil Love                ,            ,        0,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      453,       2, Jason Brantley Martin                , Democratic ,       78,       3, Constance M. Every                     , Independent,        7,       4, John Gentry                   , Independent,        4,       5, Basil Marceaux          , Independent,        0,       6, Charles Van Morgan                     , Independent,        0,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        0,       9, Michael E. Scantland, Independent,        1,       10, Rick Tyler, Independent,         0
Johnson   , 1B Cold Springs          ,    0002,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      370,       2, No                                   ,            ,      124,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      304,       2, No                                   ,            ,      113,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      357,       2, No                                   ,            ,      104,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      295,       2, No                                   ,            ,      142,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0011,       1,          0,         0, United States House of Representatives District 1, 2022-11-08, State General,       1, Diana Lynn Harshbarger            , Republican,      441,       2, Cameron Parsons                      , Democratic ,       71,       3, Richard G. Baker                       , Independent,       13,       4, Matt Makrom                   , Independent,        6,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0015,      03,          0,         0, Tennessee Senate District 3                      , 2022-11-08, State General,       1, Rusty Crowe                       , Republican,      459,       2, Kate Craig                           , Democratic ,       79,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1B Cold Springs          ,    0002,     0017,      03,          0,         0, Tennessee House of Representatives District 3    , 2022-11-08, State General,       1, Scotty Campbell                   , Republican,      482,       2, Write-In - Arvil Love                ,            ,        4,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      291,       2, Jason Brantley Martin                , Democratic ,       42,       3, Constance M. Every                     , Independent,        2,       4, John Gentry                   , Independent,        2,       5, Basil Marceaux          , Independent,        0,       6, Charles Van Morgan                     , Independent,        1,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        1,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         0
Johnson   , 2 Forge/Shouns           ,    0003,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      229,       2, No                                   ,            ,       67,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      178,       2, No                                   ,            ,       78,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      195,       2, No                                   ,            ,       73,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      168,       2, No                                   ,            ,       92,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0011,       1,          0,         0, United States House of Representatives District 1, 2022-11-08, State General,       1, Diana Lynn Harshbarger            , Republican,      267,       2, Cameron Parsons                      , Democratic ,       44,       3, Richard G. Baker                       , Independent,        3,       4, Matt Makrom                   , Independent,        3,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0015,      03,          0,         0, Tennessee Senate District 3                      , 2022-11-08, State General,       1, Rusty Crowe                       , Republican,      273,       2, Kate Craig                           , Democratic ,       47,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 2 Forge/Shouns           ,    0003,     0017,      03,          0,         0, Tennessee House of Representatives District 3    , 2022-11-08, State General,       1, Scotty Campbell                   , Republican,      284,       2, Write-In - Arvil Love                ,            ,        0,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      300,       2, Jason Brantley Martin                , Democratic ,       55,       3, Constance M. Every                     , Independent,        1,       4, John Gentry                   , Independent,        4,       5, Basil Marceaux          , Independent,        1,       6, Charles Van Morgan                     , Independent,        0,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        0,       9, Michael E. Scantland, Independent,        1,       10, Rick Tyler, Independent,         0
Johnson   , 3A Trade                 ,    0004,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      246,       2, No                                   ,            ,       79,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      210,       2, No                                   ,            ,       90,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      235,       2, No                                   ,            ,       79,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      185,       2, No                                   ,            ,      114,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0011,       1,          0,         0, United States House of Representatives District 1, 2022-11-08, State General,       1, Diana Lynn Harshbarger            , Republican,      292,       2, Cameron Parsons                      , Democratic ,       54,       3, Richard G. Baker                       , Independent,        0,       4, Matt Makrom                   , Independent,        1,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0015,      03,          0,         0, Tennessee Senate District 3                      , 2022-11-08, State General,       1, Rusty Crowe                       , Republican,      300,       2, Kate Craig                           , Democratic ,       53,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3A Trade                 ,    0004,     0017,      03,          0,         0, Tennessee House of Representatives District 3    , 2022-11-08, State General,       1, Scotty Campbell                   , Republican,      302,       2, Write-In - Arvil Love                ,            ,        0,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3B Neva                  ,    0005,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      578,       2, Jason Brantley Martin                , Democratic ,      104,       3, Constance M. Every                     , Independent,        1,       4, John Gentry                   , Independent,        4,       5, Basil Marceaux          , Independent,        0,       6, Charles Van Morgan                     , Independent,        1,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        2,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         1
Johnson   , 3B Neva                  ,    0005,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3B Neva                  ,    0005,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      448,       2, No                                   ,            ,      176,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 3B Neva                  ,    0005,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      361,       2, No                                   ,            ,      170,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Morgan    , 2-1 Oakdale High         ,    0002,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      475,       2, Jason Brantley Martin                , Democratic ,       33,       3, Constance M. Every                     , Independent,        0,       4, John Gentry                   , Independent,        3,       5, Basil Marceaux          , Independent,        1,       6, Charles Van Morgan                     , Independent,        0,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        1,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         0
Morgan    , 2-1 Oakdale High         ,    0002,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Morgan    , 2-1 Oakdale High         ,    0002,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      310,       2, No                                   ,            ,      171,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Morgan    , 2-1 Oakdale High         ,    0002,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      289,       2, No                                   ,            ,      174,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Van Buren , Spencer 1                ,    0001,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      322,       2, Jason Brantley Martin                , Democratic ,       70,       3, Constance M. Every                     , Independent,        5,       4, John Gentry                   , Independent,        5,       5, Basil Marceaux          , Independent,        1,       6, Charles Van Morgan                     , Independent,        5,       7, Alfred O'Neil, Independent,        1,       8, Deborah Rouse, Independent,        2,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         2
Van Buren , Spencer 1                ,    0001,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Van Buren , Spencer 1                ,    0001,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      254,       2, No                                   ,            ,       84,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Van Buren , Spencer 1                ,    0001,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      176,       2, No                                   ,            ,      118,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Van Buren , Spencer 1                ,    0001,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      204,       2, No                                   ,            ,       99,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Van Buren , Spencer 1                ,    0001,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      194,       2, No                                   ,            ,      122,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
